title,Type,Based on other media,release_date,Studio,Notes,...7,...8,...9,...10,...11,...12
Arjun: The Warrior Prince,Original,1,2012-05-25T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Avengers,Original,1,2012-05-04T00:00:00Z,Marvel,NA,NA,NA,NA,NA,NA,NA
Chimpanzee,Original,0,2012-04-20T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
John Carter,Original,1,2012-03-09T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Secret World of Arrietty,Original,1,2012-02-17T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Treasure Buddies,Sequel,0,2012-01-31T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Red Tails,Original,1,2012-01-11T00:00:00Z,Lucasfilm,NA,NA,NA,NA,NA,NA,NA
The Muppets,Original,0,2011-11-23T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Spooky Buddies,Original,0,2011-09-20T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Captain America: The First Avenger,Original,1,2011-07-22T00:00:00Z,Marvel,NA,NA,NA,NA,NA,NA,NA
Winnie the Pooh,Sequel,1,2011-07-15T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Cars 2,Sequel,0,2011-06-24T00:00:00Z,Pixar,NA,NA,NA,NA,NA,NA,NA
Cars 2,Sequel,0,2011-06-24T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Pirates of the Caribbean: On Stranger Tides,Sequel,0,2011-05-20T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Thor,Original,1,2011-05-06T00:00:00Z,Marvel,NA,NA,NA,NA,NA,NA,NA
Prom,Original,0,2011-04-29T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Zokkomon,Original,0,2011-04-22T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
African Cats,Original,0,2011-04-22T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Mars Needs Moms,Original,0,2011-03-11T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Lilly the Witch: The Journey to Mandolan,Sequel,0,2011-02-17T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Beverly Hills Chihuahua 2,Sequel,0,2011-02-01T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Anaganaga O Dheerudu,Original,0,2011-01-21T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Tron: Legacy,Remaster,0,2010-12-17T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Tangled,Original,1,2010-11-24T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Secretariat,Original,0,2010-10-08T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Do Dooni Chaar,Original,0,2010-10-08T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Fuchsia the Mini-Witch,Original,1,2010-10-06T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Tinker Bell and the Great Fairy Rescue,Sequel,0,2010-09-21T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Crimson Wing: Mystery of the Flamingos,Original,0,2010-09-07T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Tales from Earthsea,Original,1,2010-08-13T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Sorcerer's Apprentice,Original,1,2010-07-14T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Toy Story 3,Sequel,0,2010-06-18T00:00:00Z,Pixar,NA,NA,NA,NA,NA,NA,NA
Toy Story 3,Sequel,0,2010-06-18T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Prince of Persia: The Sands of Time,Original,1,2010-05-28T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Iron Man 2,Sequel,1,2010-05-07T00:00:00Z,Marvel,NA,NA,NA,NA,NA,NA,NA
Oceans,Original,0,2010-04-22T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Waking Sleeping Beauty,Original,0,2010-03-26T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Alice in Wonderland,Original,1,2010-03-05T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Princess and the Frog,Original,1,2009-12-11T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Old Dogs,Original,0,2009-11-25T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Disney's A Christmas Carol,Original,1,2009-11-06T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Book of Masters,Original,1,2009-10-29T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Tinker Bell and the Lost Treasure,Sequel,1,2009-10-27T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
SpangaS op Survival,Original,0,2009-09-30T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Walt & El Grupo,Original,0,2009-09-09T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Ponyo,Original,0,2009-08-14T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
G-Force,Original,0,2009-07-24T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Lilly the Witch: The Dragon and the Magic Book,Original,1,2009-06-12T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
